Place,Bib,Name,Time,Gender
166,53122,Maxwell SOBETSHE,06:39:38,Male
167,15385,Karl QUINN,06:40:31,Male
168,58228,Siphesihle SIYABONGA,06:40:32,Male
169,58020,Michael James MCCALLUM,06:40:36,Male
170,22244,Reuben MHASHU,06:40:38,Male
171,11288,Siegfriedt HEYDENRYCH,06:40:45,Male
172,49397,Landie GREYLING,06:40:46,Female
173,14546,Major MABASA,06:40:54,Male
174,49787,Mbusiseni YAKA,06:40:58,Male
175,23635,Sibusiso Prince MCHUNU,06:41:04,Male
176,21083,Mdu MENZE,06:41:09,Male
177,47481,Mcebiseni MSEZANE,06:41:16,Male
178,34329,Moris MAIGA,06:41:17,Male
179,36518,Michael PAPPAS,06:41:21,Male
180,6839,Geoff BURNS,06:41:33,Male
181,55545,Nkosiyethu MHLONGO,06:41:44,Male
182,35879,Thulani City MABUYA,06:41:48,Male
183,52577,Mlungisi SIBIYA,06:41:52,Male
184,58487,Simo MKHIZE,06:41:59,Male
185,57614,Tumisho MAGAKWE,06:42:03,Male
186,26879,Sikhulile MAVUSO,06:42:20,Male
187,35769,Mpho NGOEPE,06:42:30,Male
188,30754,Samson VILAKASI,06:42:48,Male
189,41103,Minenhle BHENGU,06:43:21,Male
190,48370,Matome Charles MOLOTO,06:43:50,Male
191,18786,Xolile MASHICILA,06:44:13,Male
192,12908,Ernest KHALATA,06:44:31,Male
193,39376,Siphesihle MAGWANYANA,06:44:32,Male
194,22979,Vuyolwethu HAGILE,06:44:54,Male
195,42555,Dumisani MKWANAZI,06:44:57,Male
196,43595,Willem MAPHANGA,06:45:10,Male
197,11995,Steve BENDALL,06:45:25,Male
198,31281,Chris CHERRY,06:45:26,Male
199,13893,Derick Bafana GUMEDE,06:45:53,Male
200,7880,Setjhaba KOLOTI,06:45:55,Male
201,34020,Johnny YOUNG,06:46:17,Male
202,43433,Mhlengi Sydwell KHOWANE,06:46:24,Male
203,37725,Elias MABANE,06:46:28,Male
204,19389,Bongani MTHEMBU,06:46:35,Male
205,41346,Kgotlelelo LEKALAKALA,06:46:42,Male
206,33219,Xolisa NTOMBINI,06:46:46,Male
207,50864,Michael LOWOLE,06:46:52,Male
208,55878,Helena JOUBERT,06:47:00,Female
209,16928,Nic ACAMPORA,06:47:19,Male
210,38575,Stuart RAWLINSON,06:47:26,Male
211,17626,Musawenkosi SIBIYA,06:47:58,Male
212,39518,Linda Raymond NSINDANE,06:48:00,Male
213,31689,Danie VAN TONDER,06:48:16,Male
214,50716,Mlungiseleli PHAKAMILE,06:48:17,Male
215,46829,Sabelo KUNENE,06:48:49,Male
216,28605,Zethembe Sydwell MDLANGATHI,06:48:50,Male
217,9383,Naledi Kevin KUTUMELA,06:48:56,Male
218,52762,Xolani XULU,06:49:06,Male
219,44265,Robert MULENGA,06:49:09,Male
220,36328,Professor NCUBE,06:49:16,Male
221,8252,Lyle TIMM,06:49:17,Male
222,20865,Johannes LEDWABA,06:49:22,Male
223,47339,Thomas BARNATO,06:49:35,Male
224,31338,Diketso RADEBE,06:49:43,Male
225,18341,Menzi NDABA,06:49:43,Male
