Place,Bib,Name,Time,Gender
543,6522,Bradly HOUSTON,07:16:33,Male
544,7702,Nkosi MAJAMA,07:16:35,Male
545,30172,Mkhetheni MANQELE,07:16:37,Male
546,28258,Makomane Michael MOKWALA,07:16:40,Male
547,53347,Siyabonga Freedom ZULU,07:16:40,Male
548,34459,Lordwick TLHAKO,07:16:41,Male
549,26363,Ernest DU TOIT,07:16:43,Male
550,54507,Thulani SIDZIYA,07:16:43,Male
551,57831,Mandlenkosi CELE,07:16:47,Male
552,43362,Sivuyile DLEMNGAZI,07:16:47,Male
553,13165,Simo MTHIYANE,07:16:49,Male
554,12266,Mahubedu SEKHUKHUNE,07:16:52,Male
555,58746,Sfiso DLOMO,07:16:53,Male
556,58082,Quintin FEBRUARY,07:16:53,Male
557,13765,Wida DE KLERK,07:16:55,Female
558,56917,Sipho MQATI,07:16:57,Male
559,48911,Isaac MAHLAKE,07:17:08,Male
560,14718,Thapelo RAMOTSEI,07:17:15,Male
561,52249,Menzi DLOMO,07:17:21,Male
562,57407,Sandile THWALA,07:17:26,Male
563,47363,Ramatelete Piet MPHETENG,07:17:26,Male
564,33082,Phinias MASEKO,07:17:26,Male
565,45114,Jericho KHATHI,07:17:30,Male
566,57771,Shadrack SELALEDI,07:17:31,Male
567,47279,Thokozani DLAMINI,07:17:32,Male
568,23463,Bhekithemba SHANGASE,07:17:33,Male
569,58627,Shandukani Jetro NONYANA,07:17:35,Male
570,5192,Douglas MACHILL,07:17:35,Male
571,36197,Ayanda KHININDA,07:17:35,Male
572,34808,Themba MATSOTSO,07:17:37,Male
573,35200,Somandla MNGOMEZULU,07:17:41,Male
574,45167,Themba VILAKATI,07:17:44,Male
575,21434,Lutendo RAMAANO,07:17:45,Male
576,10667,Thabiso KOBEDI,07:17:47,Male
577,59997,Cedrick Syanda KHUMALO,07:17:48,Male
578,30743,Letshepa PHOLO,07:17:51,Male
579,18883,Nkosinathi NGWANE,07:17:56,Male
580,26548,Morgan DULELA,07:17:57,Male
581,47601,Tukane POULO,07:17:59,Male
582,52798,Lihle MPONGOMA,07:17:59,Male
583,53631,Craig VILJOEN,07:18:02,Male
584,58223,Paul RABINOWITZ,07:18:02,Male
585,55582,Khaya S'busiso NGCOBO,07:18:09,Male
586,28930,Simphiwe MTOLO,07:18:09,Male
587,54200,Lucky MBATHA,07:18:13,Male
588,45702,Bonginkosi LAWRENCE,07:18:14,Male
589,32181,Dumisani KHUMALO,07:18:38,Male
590,49433,Kate MURRELL,07:18:46,Female
591,36431,Brino Kumalile CHIDZUNGU,07:18:51,Male
592,51927,Senzo ZUNGU,07:18:53,Male
593,28268,Robert CURRIE,07:18:54,Male
594,41226,Thembalethu XESIBE,07:18:58,Male
595,20830,Moses MARWA,07:19:00,Male
596,58279,Delani SITHOLE,07:19:03,Male
597,29755,Sibusiso NKOSI,07:19:07,Male
598,41589,Nkosie NZIMANDE,07:19:08,Male
599,33711,Lawrence MTHIYANE,07:19:17,Male
600,23325,Tolo MOOKETSI,07:19:18,Male
601,52752,Msawenkosi NSIBANDE,07:19:30,Female
602,20557,Mthandeni NENE,07:19:30,Male
603,48226,Tedius FOROTIYA,07:19:34,Male
604,25258,Sibongiseni MPUNGOSE,07:19:35,Male
605,53814,Alewyn KITSHOFF,07:19:36,Male
606,57600,Nathan FAWKES,07:19:36,Male
607,51354,Andrew LAPIN,07:19:37,Male
608,8844,Lebogang MASWANGANYE,07:19:48,Male
609,34696,Dumisani DOSI,07:19:48,Male
610,57789,Lionel CRONJE,07:19:52,Male
611,36887,Nhlanhlenhle NDLOVU,07:19:53,Male
612,6845,Shaun MEIKLEJOHN,07:19:56,Male
613,25480,Rob CRAIG,07:19:57,Male
614,55788,Ross JACOBS,07:20:13,Male
615,19345,Tony GOMES,07:20:14,Male
