Place,Runner,Time,Age,Gender,Country
1,ARSENIO Miguel,10:24:09,28,M,POR
2,TODA MAS Aleix,10:27:59,35,M,ESP
3,CARRETERO Abel,10:32:39,33,M,ESP
4,Meng Guangfu,10:55:32,26,M,CHN
5,MANOLE IONEL CRISTIAN,11:19:23,36,M,ROU
6,Epiney Lucien,11:22:28,43,M,SUI
7,Blanchard Tristan,11:36:46,45,M,SUI
8,JONES Harry,11:40:01,35,M,GBR
9,AREGGER Yurick,12:09:30,32,M,SUI
10,TOLSTENKO Aleksei,12:13:06,40,M,RUS
11,CHAVET Cedric,12:15:19,49,M,FRA
12,Hogan Marianne,12:25:51,34,F,CAN
13,BOHARD Manon,13:08:13,33,F,FRA
14,RONIMOISS Andris,13:08:34,40,M,LAT
15,Dubreucq François,13:11:57,44,M,FRA
16,Virgilio Audrey,13:13:06,35,F,SUI
17,Larranaga Urko,13:18:38,39,M,ESP
18,Anonymous,13:22:13,-,-,SUI
19,GUEGUEN Bastien,13:24:41,29,M,FRA
20,BOUR Guillaume,13:38:04,33,M,FRA
21,THIERY Tanguy,13:47:19,36,M,FRA
22,MOORE Eve,14:02:57,35,F,GBR
23,ROUANET Renaud,14:03:55,46,M,FRA
24,Begyn Julien,14:17:47,34,M,FRA
24,OLIVAR CALVO Julien,14:17:47,38,M,FRA
26,Renda Mathieu,14:31:14,37,M,FRA
27,HELVIG Johan,14:37:05,38,M,FRA
28,ELLEBOODE Fabien,14:44:41,36,M,FRA
29,Selman Christine,14:45:29,35,F,USA
30,Prieto Galvez Juan Carlos,14:45:55,38,M,ESP
31,VUILLEMOT Charly,14:45:56,38,M,FRA
32,LE ROY Julien,14:48:30,41,M,FRA
33,OVERNEY Thierry,14:49:23,50,M,SUI
34,CUSSOT Sylvaine,14:50:31,42,F,FRA
35,ALLEAUD Virginie,14:50:34,38,F,FRA
36,Vuillemin Adrien,14:53:07,39,M,FRA
37,Baudoin Simon,15:11:08,27,M,FRA
38,BARRAULT Valentin,15:13:12,35,M,FRA
39,Baroche Jonas,15:13:22,30,M,FRA
40,Cloarec Mathieu,15:15:34,33,M,FRA
41,SERNA Romain,15:21:06,29,M,FRA
42,Adam Antoine,15:28:28,44,M,FRA
43,LE MILLER Loïc,15:29:59,35,M,FRA
44,Allou Nicolas,15:40:38,47,M,FRA
45,GOMEZ BRAVO Carlos,15:43:46,53,M,CHI
46,MORANTIN Louis,15:45:03,26,M,FRA
47,SAUNDERS Steven,15:47:30,44,M,GBR
48,Llanes Vincent,15:48:55,41,M,FRA
49,ARBOGAST Jean Michel,15:52:46,55,M,FRA
50,PORTAY Romain,15:53:11,34,M,FRA
51,Mérillat Jean-Mi,15:53:47,45,M,SUI
52,BALLAND Yoann,16:00:05,36,M,FRA
53,NONORGUE Christophe,16:00:06,44,M,SUI
54,EGLI Daniel,16:04:35,57,M,SUI
55,BRUNET Cedric,16:07:58,41,M,FRA
56,JEHANNO Frederic,16:12:31,47,M,FRA
57,MAITRE Loic,16:13:35,35,M,SUI
58,FAYOLLE ANTHONY,16:13:59,38,M,FRA
59,DELBOS Marc,16:16:26,36,M,FRA
60,RANDU JULIEN,16:19:57,29,M,FRA
61,Bureau-Oxton Chloe,16:20:11,36,F,CAN
62,PINCKAERS Robert,16:23:01,60,M,BEL
63,DESPONDS Kevin,16:24:35,36,M,SUI
64,AUBERSON David,16:29:55,38,M,SUI
64,Bernasconi Céline,16:29:55,41,F,SUI
66,CRAHAY Aurelien,16:32:12,26,M,BEL
67,BOISSERANC Justin,16:33:27,32,M,FRA
68,LHIRONDELLE MATTHIEU,16:34:33,36,M,FRA
69,Fevrier Gerald,16:38:20,50,M,FRA
70,Simmen David,16:38:57,51,M,SUI
71,Beguin Beguin,16:39:46,51,M,FRA
71,wiss Axel,16:39:46,45,M,FRA
73,Monneret Romain,16:43:19,28,M,FRA
74,Gentizon Anthony,16:45:01,25,M,SUI
75,SEZNEC Vincent,16:45:31,44,M,FRA
76,Stein Arnaud,16:46:10,33,M,FRA
77,DAAMS Christophe,16:47:34,40,M,FRA
78,DEGREVE Benjamin,16:50:35,42,M,FRA
79,LEON Anthony,16:50:58,31,M,FRA
80,COLIN Maxime,16:51:36,41,M,FRA
81,GERON David,16:51:56,49,M,BEL
82,Meisel Fabian,16:52:55,34,M,GER
83,XU Buqin,16:54:16,30,F,CHN
84,GOURGAS Thomas,16:55:17,34,M,FRA
85,ABRARD Bastien,16:59:16,30,M,FRA
86,AUBERT Florent,16:59:31,46,M,FRA
87,REINE Jonathan,16:59:33,42,M,FRA
88,CHRISTEN ANDY,17:04:26,33,M,SUI
89,OGER Gregory,17:07:53,42,M,FRA
90,SIMONET Stephane,17:08:02,37,M,SUI
91,BONNEAU Nicolas,17:08:21,49,M,FRA
92,FONTAINE Romain,17:09:58,26,M,FRA
93,PERETTE Olivier,17:10:13,51,M,FRA
94,Blatter Quentin,17:11:28,28,,SUI
94,Jean Matthias,17:11:28,22,M,SUI
96,DIEULANGARD Guillaume,17:13:01,41,M,FRA
97,TRUFFAUT FRANCK,17:16:35,49,M,FRA
98,BENJAMIN Pralong,17:18:54,38,M,SUI
99,BARBEDETTE Franck,17:20:45,46,M,FRA
99,Broquet Eddy,17:20:45,42,M,SUI
101,Roussel Johann,17:22:17,42,M,FRA
102,Gerber Rachel,17:22:19,41,F,SUI
103,LONDAS Wellington,17:22:20,43,M,FRA
103,Precoma Jean christophe,17:22:20,58,M,FRA
105,GROSS Fabrice,17:26:24,54,M,FRA
106,MERLET Alexandre,17:26:28,32,M,FRA
107,Stirling Timothy,17:27:37,41,M,GBR
108,PERREAU Stephane,17:30:28,51,M,FRA
109,VANDENBERGHE Cedric,17:31:16,39,M,BEL
110,JEHANNO Enrique,17:31:21,40,M,SUI
111,MATILE Joel,17:32:22,45,M,SUI
112,FANNY Girardin,17:34:04,30,F,CAN
113,O'BYRNE Aidan,17:34:40,41,M,IRL
