OP,DP,Name,Time,Gender,AG
1,1,David Roche,15:26:34,M,30-39
2,2,Adrian Macdonald,15:56:34,M,30-39
3,1,Ryan Montgomery,16:09:40,X,30-39
4,3,Ryan Sullivan,17:21:39,M,30-39
5,4,Will Murray,17:29:07,M,20-29
6,5,Robbie Britton,17:56:10,M,30-39
7,6,Corey Kallembach,18:18:25,M,30-39
8,7,Mark Gaudet,18:23:48,M,30-39
9,1,Mary Denholm,18:23:51,F,30-39
10,8,JP Giblin,18:30:14,M,30-39
11,9,Bo Shelby,18:35:08,M,20-29
12,10,Vince Paikowski,18:47:54,M,20-29
13,11,Cody Poskin,19:28:46,M,20-29
14,12,Robert Strickland,19:34:14,M,40-49
15,13,Austin Chirico,19:40:35,M,30-39
16,14,Brian Condon,19:47:57,M,30-39
17,15,Patrick Cade,20:47:58,M,40-49
18,16,Michael Huntington,20:49:06,M,40-49
19,17,Lluís Ruiz Oller,20:59:02,M,30-39
20,18,Michael Stanley,21:16:09,M,30-39
21,2,Zoe Rom,21:27:41,F,30-39
22,19,Rodrigo Jimenez,21:37:50,M,40-49
23,20,Chris Kelly,21:44:51,M,40-49
24,3,Julie Wright,21:48:57,F,30-39
25,21,Adam Cordell,21:49:21,M,30-39
26,22,Ryan Simmons,21:52:30,M,30-39
27,23,Peter Cole,21:56:42,M,30-39
28,24,Reinier Paauwe,22:16:59,M,40-49
29,25,Nathan Huff,22:18:40,M,30-39
30,26,Brian Glaspell,22:21:00,M,50-59
31,27,Dylan Steven,22:27:36,M,20-29
32,4,Jaclyn Foroughi,22:34:15,F,40-49
33,28,David Basak,22:35:32,M,40-49
34,29,Michael Mitchell,22:37:43,M,20-29
35,30,aaron fearing,22:53:07,M,40-49
36,31,Daniel Crespo,22:55:53,M,30-39
37,32,Artur Piecha,22:56:56,M,40-49
38,33,Max Robinson,23:03:07,M,30-39
39,34,Austin Stephens,23:03:56,M,30-39
40,35,Gregory Panowicz,23:05:15,M,20-29
41,5,Mickey Davis,23:06:52,F,30-39
42,36,David Harning,23:12:09,M,30-39
43,6,Hannah Jochem,23:13:11,F,30-39
44,37,Konrad Korth,23:15:24,M,30-39
45,7,Becki Lynn Bauer,23:20:32,F,40-49
46,38,Chris Wright,23:23:11,M,50-59
47,2,Nathan Rubinfeld,23:23:50,X,30-39
48,39,Matt Peharda,23:24:36,M,30-39
49,40,Christian Gagel,23:27:33,M,30-39
50,41,Mathieu Shields,23:28:53,M,30-39
51,42,Tyler Morris,23:32:06,M,30-39
52,43,Matthew Bitters,23:36:20,M,30-39
