OP,DP,Name,Time,Gender,AG
53,44,Brad Radkoski,23:37:31,M,30-39
54,8,Kelly Brophy,23:37:59,F,30-39
55,45,Emily Keener,23:41:01,M,30-39
56,46,Luke Phillips,23:43:43,M,20-29
57,47,Robbie Balenger,23:47:11,M,30-39
58,48,Ben Lundin,23:48:11,M,30-39
59,49,TODD DILL,23:55:02,M,40-49
60,9,Nicole Bitter,23:56:46,F,40-49
61,50,Trevor Hiltz,23:59:29,M,20-29
62,51,Eric Sauer,24:06:19,M,20-29
63,52,Justin Brown,24:06:35,M,40-49
64,53,Mark Thompson,24:07:18,M,50-59
65,54,Mark Martin,24:11:11,M,30-39
66,55,Jeff Beckman,24:16:59,M,50-59
67,56,Joshua Branham,24:17:18,M,30-39
68,57,Jacob Skraba,24:19:59,M,20-29
69,58,Reid Burrows,24:20:02,M,20-29
70,59,Jacob Sheetz-Willard,24:21:09,M,30-39
71,60,Daniel Oconor,24:22:50,M,20-29
72,61,David Carpenter,24:22:57,M,30-39
73,62,Scott Hosie,24:23:11,M,40-49
74,63,John Andrew,24:23:11,M,30-39
75,64,Colten McCormick,24:24:55,M,30-39
76,10,Miranda Kaltenborn,24:25:51,F,30-39
77,65,Max Fulton,24:26:59,M,40-49
78,66,Brandon Head,24:28:18,M,40-49
79,67,Ryan McAvoy,24:28:25,M,20-29
80,68,Keith Pitman,24:29:01,M,50-59
81,69,Mitchell Brockmann,24:29:25,M,20-29
82,70,Bryan Estes,24:29:31,M,40-49
83,71,Peter Kostelnick,24:30:18,M,30-39
84,72,Nathan Lalonde,24:31:05,M,20-29
85,73,Kevin Rattigan,24:32:09,M,30-39
86,74,Bill Henry,24:35:32,M,40-49
87,75,Bradley Duplant,24:35:50,M,40-49
88,76,Daniel Andrews,24:37:05,M,30-39
89,77,Martin Grill,24:37:25,M,40-49
90,78,Joseph Bouchey,24:38:01,M,30-39
91,79,Tim Barr,24:38:39,M,40-49
92,80,Vaughn Janckila,24:39:32,M,20-29
93,81,Lance Parker,24:40:37,M,30-39
94,11,Alysha Davis,24:41:32,F,30-39
95,82,Paul Sikoski,24:42:10,M,40-49
96,12,Amanda Frankeny,24:42:18,F,30-39
97,83,Andy Lynn,24:45:09,M,30-39
98,84,David Rhodes,24:47:27,M,30-39
99,85,Matthew Choi,24:49:17,M,20-29
100,86,Marvin Sandoval,24:50:29,M,40-49
101,87,Benjamin Lucas,24:50:40,M,30-39
102,88,Kevin Goldberg,24:54:12,M,30-39
103,89,Danny Bundrock,24:59:51,M,40-49
104,13,Rachel Brewer,25:04:39,F,40-49
105,90,Rod Jacobs,25:08:47,M,40-49
106,14,Renee White,25:18:33,F,40-49
107,91,Sam Skeels,25:22:12,M,40-49
108,92,Ted Sullivan,25:34:12,M,20-29
109,93,Stefan Brenner,25:42:48,M,30-39
110,94,Benjamin Butler,25:43:22,M,20-29
111,15,Maria Smead,25:48:53,F,40-49
112,95,Mike Cole,25:54:38,M,40-49
113,96,Daniel Kinek,25:55:27,M,30-39
114,16,Adriana Moser,25:56:49,F,30-39
115,97,Roman Gratteri,26:06:45,M,40-49
116,98,John Hart,26:09:24,M,50-59
117,99,Bruce Dailey,26:16:19,M,50-59
118,100,Steven Hoogland,26:23:01,M,30-39
119,101,Brian Husmann,26:23:03,M,50-59
120,102,Jeffrey Scott Jordan,26:23:09,M,60-69
121,103,Don Brown,26:25:18,M,50-59
122,17,Carrie Stafford,26:28:10,F,40-49
123,104,Isaac Gallardo,26:30:20,M,40-49
124,18,Iuliia Maslo,26:31:58,F,30-39
125,19,Madeline Fones,26:32:28,F,30-39
126,105,Scott Saucedo,26:35:54,M,40-49
127,106,David Leung,26:36:32,M,40-49
128,107,Ryan Maguire,26:39:41,M,20-29
129,108,Kent Carlson,26:41:29,M,40-49
130,109,Nathan Wilhite,26:42:25,M,40-49
131,110,Jimmey Green,26:46:57,M,30-39
132,111,Brady Haugh,26:49:40,M,30-39
133,112,Matt Unthank,26:51:02,M,30-39
134,20,Emily Coggin,26:54:06,F,30-39
135,113,Andrew Turner,26:55:50,M,30-39
136,114,Benjamin Melisi,26:56:15,M,20-29
137,115,Chris VALAIKA,26:56:17,M,40-49
138,116,Bryan Douglas,26:56:24,M,30-39
139,117,Henry Fischer,26:58:42,M,50-59
140,118,KOTA MINEGISHI,26:59:46,M,40-49
141,21,Kathryn Dickmann,27:00:29,F,30-39
142,119,Peter Smith,27:01:10,M,40-49
143,120,Daniel Manimbo,27:06:37,M,30-39
144,121,Robert Mitchell,27:07:37,M,20-29
145,122,Conor Palmer,27:07:57,M,40-49
146,123,Nathan Hannemann,27:09:07,M,30-39
147,124,Ben Wells,27:09:24,M,20-29
148,125,Garrett Whittaker,27:14:48,M,30-39
149,22,Jo Manta,27:16:01,F,40-49
150,126,Isaac Richardson,27:17:47,M,20-29
151,127,Stephen Gnoza,27:22:07,M,30-39
152,128,Kevin Jordan,27:31:31,M,40-49
153,23,Petra Hartmann,27:32:40,F,50-59
154,129,Hagan McHenry,27:33:34,M,20-29
155,130,Michael Oliva,27:35:45,M,40-49
156,131,Andrew Glaze,27:36:06,M,40-49
157,132,Chandler Adams,27:38:51,M,20-29
158,133,Travis Kushner,27:41:51,M,30-39
159,134,Shane Foster,27:42:44,M,50-59
160,135,Simon Guerard,27:43:42,M,30-39
161,136,Mannie Zubia,27:45:09,M,30-39
162,137,Valentijn Punt,27:46:49,M,30-39
163,138,Keith Kennedy,27:47:10,M,50-59
164,24,Andrea Christensen,27:47:25,F,40-49
165,139,Jacob Oneill,27:48:03,M,30-39
166,140,Micah Petersen,27:48:28,M,30-39
167,141,Chris Calimano,27:48:52,M,40-49
168,142,Jake Slawson,27:49:16,M,20-29
169,143,Shawn Salyer,27:50:10,M,40-49
170,144,David Angotti,27:50:44,M,40-49
171,145,Cooper Turner,27:51:44,M,50-59
172,25,Andrea White,27:52:05,F,30-39
173,146,Adam Trubow,27:52:35,M,40-49
174,147,Eli Neztsosie,27:53:25,M,30-39
175,148,Peter Noyes,27:54:49,M,40-49
176,149,David Suddendorf,27:55:52,M,40-49
177,150,Russell Jackson,27:56:43,M,40-49
178,151,Daniel Arwood,27:57:09,M,40-49
179,26,Candy Willis,27:58:40,F,40-49
180,27,Betsy Larder,28:00:01,F,40-49
181,152,Robert Sterba,28:00:04,M,30-39
182,28,Hannah Hill,28:02:03,F,20-29
183,153,Huw Edwards,28:04:14,M,40-49
184,154,Jay Inzenga,28:10:39,M,20-29
185,155,Brandon ISSA,28:12:07,M,20-29
186,156,Mark Watczak,28:12:24,M,50-59
187,157,Brandon Worthington,28:12:44,M,30-39
188,158,Jonathan Mills,28:14:02,M,40-49
189,159,Alexander Sayles,28:14:54,M,20-29
190,160,Brian B,28:15:21,M,40-49
191,161,Moses Anthony,28:15:31,M,20-29
192,162,Steve Savalle,28:16:45,M,30-39
193,163,Brad Davis,28:18:12,M,40-49
194,164,Kyle O'Brien,28:18:58,M,30-39
195,165,Tim Cronk,28:20:34,M,60-69
196,166,Dom Bubri,28:20:54,M,30-39
197,167,Cristian Andres Vargas mejias,28:21:31,M,40-49
198,168,Corey Cappelloni,28:22:42,M,40-49
199,29,Samantha Wood,28:23:39,F,30-39
200,169,Rusty Taylor,28:25:33,M,40-49
201,170,Matthew Modrow,28:26:34,M,40-49
202,171,Patrick Brydon,28:26:38,M,30-39
203,172,Jacob Banks,28:26:47,M,20-29
204,30,Beckie Stauffer,28:28:00,F,30-39
205,173,Isaac Mousel,28:28:20,M,20-29
206,174,Jeremy Thilman,28:28:24,M,30-39
207,175,Zachary Ramey,28:29:33,M,30-39
208,176,Santiago Guerrero,28:30:00,M,20-29
209,177,Tanner Smith,28:30:15,M,40-49
210,178,Andrew Kirby,28:30:24,M,30-39
211,31,Madeline Wighardt,28:31:09,F,20-29
212,179,Nobuki Endo,28:31:37,M,30-39
213,32,Rachel Buzzard,28:34:30,F,30-39
214,180,Phil Allen,28:34:33,M,40-49
215,181,Daniel RIEGER,28:35:04,M,20-29
216,182,George Coogan,28:36:40,M,30-39
217,183,Cameron Duty,28:37:30,M,20-29
218,184,Jason Wagner,28:37:46,M,50-59
219,185,Roby Tosso,28:37:47,M,40-49
220,186,Benjamin Jones,28:38:04,M,30-39
221,187,Chad Althiser,28:39:06,M,40-49
222,33,Katy Anderson,28:39:47,F,40-49
223,188,Alan Rosa,28:39:51,M,60-69
224,189,Mark Vergara,28:39:58,M,30-39
225,190,Mike Mazzarese,28:41:40,M,40-49
226,34,Natalya Wallin,28:42:04,F,40-49
227,191,Tyler Fenton,28:43:18,M,20-29
228,192,Andrew Coats,28:43:37,M,50-59
229,193,Colin Mitchell,28:43:39,M,30-39
230,194,Richard Ingram,28:43:45,M,40-49
231,195,Ryan McAfee,28:44:07,M,40-49
232,196,John Grotenhuis,28:44:14,M,30-39
233,197,Matthew Goldstein,28:45:25,M,50-59
234,198,Noah Richards,28:45:37,M,20-29
235,35,Shari Hastings,28:45:46,F,50-59
236,199,Norman Dods,28:46:59,M,40-49
237,200,Ben Goodwin,28:47:33,M,30-39
238,201,Christopher Rahill,28:48:22,M,40-49
239,202,Nick Reichley,28:48:47,M,40-49
240,203,Mark Bauer,28:49:02,M,40-49
241,204,Will Manuel,28:49:16,M,50-59
242,205,Tait Aamodt,28:49:31,M,20-29
243,36,Anya Kosova,28:50:47,F,30-39
244,206,Jeff Kunkle,28:52:09,M,50-59
245,207,Sean Arocha,28:52:22,M,30-39
246,37,Katie Graff,28:54:08,F,30-39
247,208,Ben Whitehead,28:54:30,M,30-39
248,209,David Santino,28:55:04,M,30-39
249,210,Oleksii Kononenko,28:55:33,M,40-49
250,211,Brian Steiner,28:56:17,M,30-39
251,212,Timothy Barton,28:56:43,M,50-59
252,213,Bill Kivett,28:57:28,M,50-59
253,214,Tyler Spaulding,28:59:51,M,20-29
254,215,Joseph Urbanowicz,28:59:52,M,20-29
255,216,Payton LaSota,29:00:21,M,20-29
256,217,Mike Roman,29:00:26,M,30-39
257,218,Joshua Diver,29:01:14,M,40-49
258,219,Noah Allen,29:01:34,M,20-29
259,220,Benjamin Lowry,29:01:41,M,30-39
260,221,John Dedoncker,29:01:58,M,60-69
261,222,Mark Bivins,29:03:58,M,30-39
262,223,Nicholas Martin,29:04:53,M,40-49
263,224,matt haaga,29:05:23,M,30-39
264,225,Albert Bean,29:05:26,M,40-49
265,226,Samuel Sitarz,29:06:03,M,20-29
266,227,Jared Bilanin,29:06:36,M,50-59
267,38,Junko Kazukawa,29:07:07,F,60-69
268,228,Bud Wilson,29:07:39,M,50-59
269,39,Brianna Coy,29:07:50,F,30-39
270,229,Shawn Wierick,29:08:21,M,40-49
271,230,Ryan Rinehart,29:08:34,M,30-39
272,231,Brendan Archer,29:08:35,M,20-29
273,40,Katie Ruiz,29:10:20,F,30-39
274,232,Nathan Davis,29:11:20,M,20-29
275,41,Abigael Whitaker,29:11:50,F,30-39
276,233,Adam Paton,29:13:40,M,30-39
277,234,Michael Reschly,29:13:42,M,40-49
278,42,Morganne Ashley,29:13:58,F,30-39
279,235,Nico Studebaker,29:14:21,M,20-29
280,236,Michael Koehler,29:14:24,M,40-49
281,237,Tyler Horne,29:14:55,M,30-39
282,238,Drew Petersen,29:14:57,M,30-39
283,43,Kathy Sloan,29:15:24,F,50-59
284,239,Collin Morris,29:15:27,M,30-39
285,240,Cory Torkelson,29:15:35,M,40-49
286,44,Amy Clauss,29:15:57,F,40-49
287,241,Phillip Adkins,29:15:59,M,30-39
288,242,Luke Williamson,29:16:03,M,30-39
289,45,Lesley Fatica,29:16:41,F,20-29
290,243,Adam Morel,29:16:42,M,40-49
291,244,Ronnie Beaty,29:17:05,M,40-49
292,245,TJ Clarke,29:17:32,M,30-39
293,46,Corrie Crane,29:17:55,F,40-49
294,47,Sarah Malone,29:18:46,F,40-49
295,48,Catherine Lynch,29:19:15,F,30-39
296,246,Bryan Campbell,29:19:42,M,40-49
297,247,Jeffrey Pierce,29:20:03,M,60-69
298,248,Ed Hall,29:20:08,M,40-49
299,249,Jonathan Schmidt,29:20:20,M,40-49
300,250,Nathan Buchanan,29:21:13,M,30-39
301,251,Brian Passenti,29:21:22,M,50-59
302,252,Eric Noeth,29:21:40,M,30-39
303,253,Grant Goulet,29:22:22,M,40-49
304,254,Dan Churchill,29:22:27,M,30-39
305,49,Abby Richter,29:22:46,F,30-39
306,255,Matt Kelly,29:23:28,M,40-49
307,256,Scott Sundahl,29:23:29,M,40-49
308,50,Samantha WEINBERG,29:23:45,F,30-39
309,257,Scott Abshire,29:23:59,M,40-49
310,258,Jeffrey SCHLEPPY,29:24:26,M,40-49
311,51,Sarah Robertson,29:25:03,F,30-39
312,259,Zachary Sparling,29:25:13,M,30-39
313,260,Miguel Rodriguez,29:25:14,M,30-39
314,261,John Minkema,29:25:39,M,40-49
315,52,Sommer WISS,29:25:51,F,30-39
316,262,Diarmuid Truax,29:26:08,M,50-59
317,263,Casey Gilbert,29:26:14,M,30-39
318,53,Maria Borowik,29:26:19,F,30-39
319,264,Zachary Fiske,29:27:16,M,20-29
320,54,Amanda Kimiko,29:27:23,F,30-39
321,265,Jody Nelson,29:27:56,M,40-49
322,266,Joseph Polonsky,29:28:21,M,40-49
323,267,Adam Rylance,29:28:26,M,20-29
324,268,Andrew Phillips,29:28:34,M,20-29
325,269,Blair McCormick,29:28:52,M,20-29
326,55,Cindy Barnes,29:30:29,F,40-49
327,270,Trey Barnes,29:30:43,M,40-49
328,271,Joshua Wennrich,29:31:27,M,40-49
329,272,Jason Kaplan,29:31:31,M,40-49
330,56,Nicole Kirkweg,29:31:32,F,30-39
331,273,Matt Smegal,29:31:59,M,40-49
332,274,Eric Perramond,29:32:11,M,50-59
333,275,hirano masashi,29:32:17,M,50-59
334,276,Shane Simpson,29:33:19,M,50-59
335,277,Miguel Carreon,29:33:20,M,50-59
336,278,Anatoly Ross,29:34:12,M,60-69
337,57,Abby Reinholt,29:34:36,F,40-49
338,279,Estevan Maldonado,29:35:07,M,20-29
339,280,Greg Opgenorth,29:35:11,M,40-49
340,281,Ryan Garrett,29:35:53,M,30-39
341,282,Raymond Rosalez,29:36:05,M,20-29
342,283,Anthony Re,29:36:14,M,20-29
343,284,Matthew Felton,29:36:40,M,40-49
344,58,Stephanie Estrada,29:36:47,F,20-29
345,285,Ryan Millard,29:37:08,M,30-39
346,286,kevin shears,29:37:15,M,30-39
347,287,Ian Floyd,29:37:24,M,30-39
348,288,Arlie Ramirez,29:37:35,M,40-49
349,289,James Bruce,29:37:48,M,50-59
350,290,Brian Troutman,29:37:51,M,40-49
351,291,Brian Yau,29:37:54,M,40-49
352,292,Je Rogers,29:38:07,M,40-49
353,293,Jerald Cook,29:38:19,M,50-59
354,294,Robert Church,29:38:22,M,<20
355,295,Christopher Pittman,29:38:31,M,50-59
356,296,Travis Swanson,29:38:38,M,40-49
357,59,Deirdre Keane,29:38:53,F,30-39
358,297,David Steingart,29:39:55,M,40-49
359,298,Evan Kilstrom,29:40:01,M,20-29
360,299,Kevin Miller,29:40:08,M,40-49
361,300,Clay Gordon,29:40:53,M,20-29
362,301,Thomas Moyer,29:41:12,M,30-39
363,60,Kelly Bergkessel,29:41:36,F,40-49
364,302,Bobby Ryan,29:41:40,M,20-29
365,61,Megan Tattersall,29:41:47,F,20-29
366,62,Kristin Bradfield,29:41:59,F,40-49
367,303,Taylor Williams,29:42:25,M,30-39
368,304,Chris Barnes,29:42:32,M,30-39
369,305,Eric Aubry,29:42:42,M,30-39
370,306,Jared Coats,29:42:48,M,20-29
371,307,Jesse Villines,29:43:05,M,30-39
372,63,Rebecca Umstot,29:43:08,F,40-49
373,308,Stan Fleming,29:43:18,M,40-49
374,64,Nadezda Dhadiala,29:43:26,F,40-49
375,309,Chris Kaminski,29:43:41,M,40-49
376,65,Avery Matthews,29:43:52,F,30-39
377,310,Ryan Loftus,29:43:58,M,30-39
378,66,Erin Jackson,29:44:00,F,40-49
379,311,Paul Schoenlaub,29:44:26,M,60-69
380,312,Michael Evans,29:44:28,M,30-39
381,313,Casey Sparks,29:44:38,M,30-39
382,314,John Byrne,29:44:47,M,50-59
383,315,Jake Aune,29:44:47,M,30-39
384,316,Gavin Madsen,29:45:45,M,40-49
385,317,Eric Pence,29:45:57,M,50-59
386,318,Caleb Carter,29:46:11,M,20-29
387,67,Jill Becker,29:46:47,F,30-39
388,319,Erik Richardson,29:47:33,M,40-49
389,320,Sean Carmosy,29:47:53,M,30-39
390,321,Gary Lancaster,29:49:38,M,50-59
391,68,Rachel Reyes,29:50:09,F,30-39
392,322,Alexander Glueckler,29:50:31,M,40-49
393,323,Terry Sullivan,29:50:49,M,50-59
394,324,Kyle Rooney,29:52:16,M,40-49
395,325,Tyler Ogg,29:53:36,M,30-39
396,69,Heather Daunis,29:54:14,F,40-49
397,326,Adam Seaman,29:54:34,M,30-39
398,70,Kara Diamond-Husmann,29:54:45,F,40-49
399,327,Thomas Giovannetti,29:55:37,M,40-49
400,71,Megan Byers,30:29:12,F,20-29
401,72,Shannon Merriman,30:32:45,F,30-39
402,328,Michael Aidala,31:08:34,M,30-39
403,329,Philip Somarakis,31:21:28,M,50-59
