Place,Runner,Time,Age,Gender,Country
1,Ihor Verys,58:44:59,,M,
2,John Kelly,59:15:38,,M,
3,Jared Campbell,59:30:32,,M,
4,Greig Hamilton,59:38:42,,M,
5,Jasmin Paris,59:58:21,,F,
DNF,Damian Hall,,,M,
DNF,Maxime Gauduin,,,M,
DNF,Alberto Herrero Casas,,,M,
DNF,Sebastien Raichon,,,M,
DNF,Joe McConaughy,,,M,
DNF,Aurelien Sanchez,,,M,
DNF,Harvey Lewis,,,M,
DNF,Tomokazu Ihara,,,M,
DNF,Thomas Dunkerbeck,,,M,
DNF,Jim Mann,,,M,
DNF,Hendrik Boury,,,M,
DNF,Mark Lattanzi,,,M,
DNF,Kelly Halpin,,,F,
DNF,Nikolay Nachev,,,M,
DNF,Harold Zundel,,,M,
DNF,Marco Jaeggi,,,M,
DNF,Matej Arnus,,,M,
DNF,Christophe Nonorgue,,,M,
DNF,Iso Yucra,,,M,
DNF,Jay Doubman,,,M,
DNF,Jim Bedford,,,M,
DNF,John Clarke,,,M,
DNF,Lisa McFadden,,,F,
DNF,Pedro Luiz Cianfarani,,,M,
DNF,Scott Martin,,,M,
DNF,Tano Isola,,,M,
DNF,Steve Malliard,,,M,
DNF,Jeff Stafford,,,M,
DNF,Nick Vermeulen,,,M,
DNF,Philippe Richet,,,M,
DNF,Leonard Martin,,,M,
DNF,Dena Carr,,,F,
